objectid,filename,title,date,description,rating,runtime,topactors,director,genre,subject,format,language
scottpilgrim_2010,scottpilgrim_2010.jpg,Scott Pilgrim vs. the World,2010,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",PG-13,1h 52m,Michael Cera; Mary Elizabeth Winstead; Kieran Culkin,Edgar Wright,Action; Comedy; Fantasy,Blu-ray,image/jpeg,eng
seven_1995,seven_1995.jpg,Seven,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R,2h 7m,Morgan Freeman; Brad Pitt; Kevin Spacey,David Fincher,Crime; Drama; Mystery,Blu-ray,image/jpeg,eng
sicario_2015,sicario_2015.jpg,Sicario,2015,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,R,2h 1m,Emily Blunt; Josh Brolin; Benicio Del Toro,Denis Villeneuve,Action; Crime; Drama,Blu-ray,image/jpeg,eng
sicario2_2018,sicario2_2018.jpg,Sicario Day Of The Soldado,2018,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",R,2h 2m,Benicio Del Torom; Josh Brolin; Isabela Merced,Stefano Sollima,Action; Crime; Drama,Blu-ray,image/jpeg,eng
supertroopers_2001,supertroopers_2001.jpg,Super Troopers,2001,"Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime.",R,1h 40m,Jay Chandrasekhar; Steve Lemme; Kevin Heffernan,Jay Chandrasekhar,Comedy; Crime; Mystery,DVD,image/jpeg,eng
incredibles_2004,incredibles_2004.jpg,The Incredibles,2004,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",PG,1h 55m,Craig T. Nelson; Samuel L. Jackson; Holly Hunter,Brad Bird,Animation; Action; Adventure,DVD,image/jpeg,eng
incredibles2_2018,incredibles2_2018.jpg,The Incredibles 2,2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,PG,1h 58m,Craig T. Nelson; Holly Hunter; Violet Parr,Brad Bird,Animation; Action; Adventure,Blu-ray,image/jpeg,eng
socialnetwork_2010,socialnetwork_2010.jpg,The Social Network ,2010,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",PG-13,2h,Jesse Eisenberg; Andrew Garfield; Justin Timberlake,David Fincher,Biography; Drama,Blu-ray,image/jpeg,eng
godfather1_1972,godfather1_1972.jpg,The Godfather,1972,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,R,2h 55m,Marlon Brando; Al Pacino; James Caan,Francis Ford Coppola,Crime; Drama,DVD,image/jpeg,eng
godfather2_1974,godfather2_1974.jpg,The Godfather Part II,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R,3h 22m,Al Pacino; Robert De Niro; Robert Duvall,Francis Ford Coppola,Crime; Drama,DVD,image/jpeg,eng
